"Lake.ID","Date.Sample","Site","sampleID","DOC","TP","SRP","nitrate","TN","chlorophyll","kd","Ibar"
"Meso1","2018-05-30","A","1",7.577834835,12.93220339,1.1875,228.8003563,721.5033945,4.9960613015,0.903545694021424,0.804610694311377
"Meso1","2018-06-07","A","13",7.921075332,11.57627119,0,82.68377992,548.444091,6.329387559,1.0778257500396,0.773070940169598
"Meso1","2018-06-14","A","25",10.81091783,13.21311475,0,105.5862332,663.5372924,9.9091184765,2.54162923544913,0.566091265751666
"Meso1","2018-06-21","A","37",11.64283717,12.72131148,0,167.828616,736.3544739,9.2061048725,3.93138830351243,0.437474654086808
"Meso1","2018-06-28","A","49",16.381148115,12.42372881,0.569230769,227.4808242,776.8535154,6.461656723,3.49621942082476,0.47245161896563
"Meso1","2018-07-05","A","61",21.37577325,13.52459016,0.074626866,296.1807125,939.6155128,4.3102801775,5.22714055837214,0.354582975769593
"Meso1","2018-07-12","A","73",25.680482855,13.36065574,0.223880597,351.8864594,1038.080579,7.9531637465,3.61736026668569,0.462287224554214
"Meso1","2018-07-19","A","85",29.459558445,17.95081967,6.641791045,377.7043267,949.3363917,6.5696839135,7.4336983273287,0.262504479332944
"Meso1","2018-07-26","A","97",31.02568585,15.61290323,7.338461538,488.1333343,1122.109736,11.80159303,9.15614145302692,0.21618829398485
"Meso1","2018-08-02","A","109",35.05220733,11.09677419,3.8,660.8210585,1427.346025,36.109211265,7.48451218470409,0.260885253124751
"Meso10","2018-05-30","B","10",5.361169279,4.196721311,0,109.0314503,449.4158441,4.1809811135,0.416235722726176,0.902799424541641
"Meso10","2018-06-07","B","22",8.7688102505,5.813559322,0,77.91227236,565.4997572,6.907299163,1.75767409989869,0.665350232956212
"Meso10","2018-06-14","B","34",12.356081041,10.91803279,1.5,115.3745921,844.0467382,8.4947975285,1.76584473424944,0.664189161643472
"Meso10","2018-06-21","B","46",14.08270297,15.01639344,0,204.0985093,796.84655,10.951448885,0.425560187936886,0.900770938003327
"Meso10","2018-06-28","B","58",19.151852655,23.27118644,0,332.4798612,1097.571039,11.0056919955,3.12324945739671,0.506014698141227
"Meso10","2018-07-05","B","70",24.29667731,30.08196721,7.686567164,478.9515402,1158.976704,14.936035925,0.554546144378713,0.873335720334236
"Meso10","2018-07-12","B","82",25.05928211,36.14754098,14.10447761,495.1040425,1376.977603,11.75240981,4.6721405636041,0.386672046461656
"Meso10","2018-07-19","B","94",27.64106772,35.6557377,12.91044776,560.1877933,1318.787565,8.959908208,5.2713918636817,0.352214727627539
"Meso10","2018-07-26","B","106",31.538965395,21.74193548,9.953846154,735.0579286,1529.59333,17.648450185,5.1668400882404,0.35785303511521
"Meso10","2018-08-02","B","118",48.30214897,46.41935484,20.72307692,1016.780569,2130.705147,11.877794315,4.26350360058313,0.413449024879583
"Meso11","2018-05-30","A","11",8.556876521,8.131147541,4.121212121,85.7666191,492.2749877,4.6767229185,0.511847427813461,0.882290152959269
"Meso11","2018-06-07","A","23",7.6866812345,10.55932203,0,54.16200054,449.5949795,4.8486219795,1.84436751560698,0.65317814735632
"Meso11","2018-06-14","A","35",9.991693366,11.57377049,0,96.75397724,741.1709214,9.7660507225,2.20114680990068,0.606338231066765
"Meso11","2018-06-21","A","47",12.53754483,4.032786885,6.261538462,185.2551723,682.5268621,2.0516933905,2.78675985583986,0.539526309928355
"Meso11","2018-06-28","A","59",16.47410857,13.77966102,0,322.873875,685.2270918,5.3807214575,4.50269269792692,0.397425560266831
"Meso11","2018-07-05","A","71",22.590133905,13.52459016,5.298507463,304.5817146,838.6930427,4.2604091675,6.3219163614413,0.302950825739426
"Meso11","2018-07-12","A","83",23.03286227,17.29508197,6.343283582,358.1688341,1065.749269,10.388739697,5.58131691262471,0.336343279069419
"Meso11","2018-07-19","A","95",23.917687605,9.754098361,9.029850746,394.7165548,982.1892408,9.9146947005,5.76927079673326,0.327294341093384
